# Constructed from biom file
#OTU ID	NuBotR1	NuBotR2	NuBotR3	NuTopR1	NuTopR2	NuTopR3	NyBotR1	NyBotR2	NyBotR3	NyTopR1	NyTopR2	NyTopR3
db1bf179e66269b33f13d33d2384a2b6	20.0	3.0	3.0	254.0	110.0	25.0	40.0	30.0	16.0	22.0	135.0	192.0
f705ced9e06b0e4cceb1b733b0bfaf9a	81.0	57.0	37.0	81.0	33.0	44.0	71.0	92.0	125.0	103.0	97.0	18.0
a87f7051176bdba1889ff8bd22bd0e09	102.0	53.0	34.0	200.0	77.0	92.0	133.0	48.0	19.0	0.0	0.0	78.0
e6db823f613a515085006e531540facb	14.0	14.0	32.0	41.0	110.0	280.0	103.0	56.0	31.0	19.0	124.0	7.0
a94f00bfef7b4bd2a7b4509a4d396481	0.0	0.0	830.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
580a8d3f20918d018fa7c4f93bbd080d	0.0	0.0	0.0	188.0	189.0	0.0	105.0	0.0	0.0	0.0	173.0	175.0
6dd98ca8eaf1ceccb8fe7b06ea8f9aea	0.0	248.0	171.0	0.0	0.0	0.0	0.0	0.0	410.0	0.0	0.0	0.0
3e62d15bdf5b355024a59604275a805f	162.0	0.0	0.0	76.0	100.0	0.0	222.0	164.0	0.0	0.0	0.0	101.0
0fda68e655b5c84e5c7d34de57ea123e	82.0	57.0	35.0	249.0	35.0	103.0	19.0	87.0	0.0	119.0	20.0	9.0
529a6fd494ad341e95fd2e77037c7a23	196.0	0.0	0.0	49.0	34.0	24.0	19.0	204.0	0.0	232.0	48.0	0.0
95e7e157abe47640036237159706d86e	0.0	0.0	0.0	0.0	182.0	0.0	0.0	446.0	178.0	0.0	0.0	0.0
1afb3a9511423c05231e77320625f8a6	144.0	26.0	15.0	47.0	57.0	24.0	0.0	248.0	137.0	72.0	26.0	8.0
c6600bd7eb3d8845104b64be72c29ef7	71.0	0.0	7.0	117.0	38.0	82.0	18.0	282.0	49.0	50.0	59.0	25.0
